118,medium.com/demptyspace/this-guy-gave-up-his-dream-job-for-life-as-a-graffiti-artist-9ab2f4e259bd?source=topic_page---------52------------------1
121,medium.com/@christaweilmenegas/the-tunnel-we-love-e60457c05bf5?source=topic_page---------53------------------1
123,medium.comhttps://thebolditalic.com/i-go-to-a-bar-and-paint-naked-women-every-week-nsfw-b3957b55c22b?source=topic_page---------54------------------1
126,medium.com/@artsmia/can-museums-make-us-better-people-a257a29e104?source=topic_page---------55------------------1
128,medium.com/@chrisjones_32882/how-digital-changes-the-nature-of-original-art-8f57a261a002?source=topic_page---------56------------------1
130,medium.comhttps://modus.medium.com/frauhaus-d5b99de61ab5?source=topic_page---------57------------------1
133,medium.com/@TheLeadSA/huge-aboriginal-art-festival-begins-in-south-australia-f5f920bae20?source=topic_page---------58------------------1
135,medium.com/swlh/cloning-the-fractal-grid-6ddf7d13e2ec?source=topic_page---------59------------------1
139,medium.com/@artworksfellows/shaping-the-past-as-our-own-with-help-from-giorgos-palamaris-c4aa2b55cc21?source=topic_page---------61------------------1
141,medium.com/@ArtGeek/st-paul-the-hermit-has-arrived-at-notre-dame-university-507cd99b4a15?source=topic_page---------62------------------1
143,medium.com/demptyspace/head-to-japan-to-see-the-most-advanced-museum-in-the-world-c10a040ef10f?source=topic_page---------63------------------1
146,medium.com/mutualart/slaying-giants-artemisia-gentileschi-and-old-masters-at-dorotheum-2261f6510157?source=topic_page---------64------------------1
148,medium.com/signifier/constructing-the-supreme-language-of-art-ac77b649d003?source=topic_page---------65------------------1
150,medium.com/the-molten-mind-space/i-am-not-a-robot-i-dont-record-everything-i-do-d65920f1439f?source=topic_page---------66------------------1
153,medium.com/@cvonhassett/how-to-hate-the-city-a-storyboard-of-canvases-308b0608960c?source=topic_page---------67------------------1
157,medium.com/cma-thinker/beijing-to-cleveland-liu-wei-reveals-invisible-cities-to-us-e681ac91506?source=topic_page---------69------------------1
160,medium.com/@cvonhassett/laura-krifkas-wickedly-deviant-the-game-of-patience-bb9a3344080?source=topic_page---------70------------------1
163,medium.com/minneapolis-institute-of-art/the-american-war-9d9e4a44eb61?source=topic_page---------72------------------1
166,medium.com/@theresamarlene.mainka/gray-weather-at-grande-jatte-dea5d5653d83?source=topic_page---------73------------------1
168,medium.com/crows-feet/creating-art-into-his-80s-9c4d70bee15d?source=topic_page---------74------------------1
171,medium.com/minneapolis-institute-of-art/has-the-news-become-old-news-8c327fe83cf4?source=topic_page---------75------------------1
175,medium.com/@margolestz/michelangelos-graffiti-and-a-peeing-lion-two-curiosities-from-florence-8b2c4986b15f?source=topic_page---------77------------------1
177,medium.com/@chrisjones_32882/why-looking-at-paintings-cures-me-every-time-30c5f194dc0d?source=topic_page---------78------------------1
179,medium.comhttps://magenta.as/the-days-and-nights-of-photographer-stephen-wilkes-ed8d70c250cd?source=topic_page---------79------------------1
182,medium.com/@brandywilletts/the-sublime-effect-627bc64c945f?source=topic_page---------80------------------1
184,medium.com/swlh/contrapoints-buck-angel-opulence-controversy-truscum-transmedicalist-non-binary-550c00044534?source=topic_page---------81------------------1
